Адр,Знчн,IP , CR ,AR , DR ,SP , BR , AC ,NZVC,Адр,Знчн
371,AF40,372,AF40,371,0040,000,0040,0040,0000
372,0680,373,0680,372,0680,000,0372,4000,0000
373,0500,374,0500,373,4000,000,0373,8000,1010
374,EEFB,375,EEFB,370,8000,000,FFFB,8000,1010,370,8000
375,AF03,376,AF03,375,0003,000,0003,0003,0000
376,EEF8,377,EEF8,36F,0003,000,FFF8,0003,0000,36F,0003
377,4EF5,378,4EF5,36D,0384,000,FFF5,0387,0000
378,EEF5,379,EEF5,36E,0387,000,FFF5,0387,0000,36E,0387
379,ABF4,37A,ABF4,386,003B,000,FFF4,003B,0000,36E,0386
37A,0480,37B,0480,37A,0480,000,037A,001D,0011
37B,F401,37D,F401,37B,F401,000,0001,001D,0011
37D,0400,37E,0400,37D,0400,000,037D,003B,0000
37E,7EF1,37F,7EF1,370,8000,000,FFF1,003B,1010
37F,F801,380,F801,37F,F801,000,037F,003B,1010
380,EEEF,381,EEEF,370,003B,000,FFEF,003B,1010,370,003B
381,836F,382,836F,36F,0002,000,0001,003B,1010,36F,0002
382,CEF6,379,CEF6,382,0379,000,FFF6,003B,1010
379,ABF4,37A,ABF4,385,0014,000,FFF4,0014,0000,36E,0385
37A,0480,37B,0480,37A,0480,000,037A,000A,0000
37B,F401,37C,F401,37B,F401,000,037B,000A,0000
37C,CE04,381,CE04,37C,0381,000,0004,000A,0000
381,836F,382,836F,36F,0001,000,0000,000A,0000,36F,0001
382,CEF6,379,CEF6,382,0379,000,FFF6,000A,0000
379,ABF4,37A,ABF4,384,FFAB,000,FFF4,FFAB,1000,36E,0384
37A,0480,37B,0480,37A,0480,000,037A,7FD5,0011
37B,F401,37D,F401,37B,F401,000,0001,7FD5,0011
37D,0400,37E,0400,37D,0400,000,037D,FFAB,1010
37E,7EF1,37F,7EF1,370,003B,000,FFF1,FFAB,1001
37F,F801,381,F801,37F,F801,000,0001,FFAB,1001
381,836F,383,836F,36F,0000,000,FFFF,FFAB,1001,36F,0000
383,0100,384,0100,383,0100,000,0383,FFAB,1001
